#[Parameters]
# Name = 'nb2-POWER-TEMPORAL'
# ShotNo = 163385
# Date = '11/20/2020 12:16'
# 
# DimNo = 1
# DimName = 'time'
# DimSize = 13107
# DimUnit = 's'
# 
# ValNo = 5
# ValName ='Ebeam_nb2','Pport-through_nb2','Ion-stsA_nb2','Ion-stsB_nb2','ISGas_nb2'
# ValUnit ='keV','MW','','',''
# 
# [comments]
# 'NBI provisional value'
# 'NIFS Analysis Information Group.(2006, 2017)'
# ''
# 'PortThroughRate = 0.36'
# 'ISGas = 1 for H2, 2 for D2, 3 for He.'
# ''
# 'time[sec.],Enb[keV],Pport-though[MW],Ion-statusA,Ion-statusB,ISGas'
# [data]
     0.001,    0.0000,    0.0000,0,0,2
     0.002,    0.0000,    0.0000,0,0,2
     0.003,    0.0000,    0.0000,0,0,2
     0.004,    0.0000,    0.0000,0,0,2
     0.005,    0.0000,    0.0000,0,0,2
     0.006,    0.0000,    0.0000,0,0,2
     0.007,    0.0000,    0.0000,0,0,2
     0.008,    0.0000,    0.0000,0,0,2
     0.009,    0.0000,    0.0000,0,0,2
     0.010,    0.0000,    0.0000,0,0,2
     0.011,    0.0000,    0.0000,0,0,2
     0.012,    0.0000,    0.0000,0,0,2
     0.013,    0.0000,    0.0000,0,0,2
     0.014,    0.0000,    0.0000,0,0,2
     0.015,    0.0000,    0.0000,0,0,2
     0.016,    0.0000,    0.0000,0,0,2
     0.017,    0.0000,    0.0000,0,0,2
     0.018,    0.0000,    0.0000,0,0,2
     0.019,    0.0000,    0.0000,0,0,2
     0.020,    0.0000,    0.0000,0,0,2
     0.021,    0.0000,    0.0000,0,0,2
     0.022,    0.0000,    0.0000,0,0,2
     0.023,    0.0000,    0.0000,0,0,2
     0.024,    0.0000,    0.0000,0,0,2
     0.025,    0.0000,    0.0000,0,0,2
     0.026,    0.0000,    0.0000,0,0,2
     0.027,    0.0000,    0.0000,0,0,2
     0.028,    0.0000,    0.0000,0,0,2
     0.029,    0.0000,    0.0000,0,0,2
     0.030,    0.0000,    0.0000,0,0,2
     0.031,    0.0000,    0.0000,0,0,2
     0.032,    0.0000,    0.0000,0,0,2
     0.033,    0.0000,    0.0000,0,0,2
     0.034,    0.0000,    0.0000,0,0,2
     0.035,    0.0000,    0.0000,0,0,2
     0.036,    0.0000,    0.0000,0,0,2
     0.037,    0.0000,    0.0000,0,0,2
     0.038,    0.0000,    0.0000,0,0,2
     0.039,    0.0000,    0.0000,0,0,2
     0.040,    0.0000,    0.0000,0,0,2
     0.041,    0.0000,    0.0000,0,0,2
     0.042,    0.0000,    0.0000,0,0,2
     0.043,    0.0000,    0.0000,0,0,2
     0.044,    0.0000,    0.0000,0,0,2
     0.045,    0.0000,    0.0000,0,0,2
     0.046,    0.0000,    0.0000,0,0,2
