Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	weight10	weight11	weight12	weight13	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
0,1,2,3	-1.2444470709918807	0.0	-1.1467308183670233	4.611770591941275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.2946959459747407	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,4	-0.8337833678881971	0.0	-1.5154883488186834	0.0	2.174597545443709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.23217822175777708	0.39999999999999997	0.0	0.7452380952380953	0.8	0.5133333333333333	0.28087165910587863	0.0	0.12555997022319249	0.4	0.29896116433038217
0,1,2,5	1.5923104514307875	0.0	-2.3212938232367044	0.0	0.0	-1.866613471887065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1498861462275962	0.45	0.10833333333333332	0.7047619047619048	0.4666666666666667	0.44666666666666666	0.42196629670573876	0.175	0.1887421065010135	0.42687494916218993	0.40557229798013683
0,1,2,6	0.5755338653454087	0.0	-2.929860166973785	0.0	0.0	0.0	2.4721604730543936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2651279701892739	1.0	0.25	0.8452380952380952	0.7516666666666667	0.8454761904761906	0.0	0.19364916731037085	0.1238324154661509	0.18490988796347985	0.12131390477626008
0,1,2,7	0.7976511882855271	0.0	-3.4775851988756394	0.0	0.0	0.0	0.0	3.5132834222633305	0.0	0.0	0.0	0.0	0.0	0.0	-0.29734962915607044	0.9333333333333333	0.0	0.9666666666666666	1.0	0.95	0.2	0.0	0.1	0.0	0.15
0,1,2,8	0.25558523786402704	0.0	-2.3229826081026226	0.0	0.0	0.0	0.0	0.0	1.0560618485072824	0.0	0.0	0.0	0.0	0.0	0.2374741219572119	0.3333333333333333	0.175	0.6047619047619047	0.4333333333333333	nan	0.32489314482696546	0.22500000000000003	0.13850513878332368	0.41633319989322654	nan
0,1,3,9	-0.26601170057511625	0.0	0.0	4.273270459462543	0.0	0.0	0.0	0.0	0.0	0.8983336286708624	0.0	0.0	0.0	0.0	-3.3660506349967134	1.0	0.1	0.9357142857142857	0.8916666666666666	0.9323809523809524	0.0	0.16583123951777	0.1086142355043528	0.175	0.11215877957937442
0,1,2,9	0.16511995086233838	0.0	-1.9300272238605012	0.0	0.0	0.0	0.0	0.0	0.0	2.564440173018827	0.0	0.0	0.0	0.0	-0.3569192339244581	1.0	0.25	0.8452380952380952	0.7516666666666667	0.8454761904761906	0.0	0.19364916731037085	0.1238324154661509	0.18490988796347985	0.12131390477626008
0,1,2,10	0.3091192206358967	0.0	-1.683047720888982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.521230694473451	0.0	0.0	0.0	-2.4244483997164172	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,12	0.4201084366839861	0.0	-2.4392939509057676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.315306731153299	0.0	0.29672426846253996	0.2833333333333333	0.0	0.7	0.6	0.38	0.2477678124553084	0.0	0.11770673423150743	0.48989794855663565	0.3208322510804257
